outlet,pre_detected,ensemble_fpr_anchor,delta,fpr_target,delta_asposted
gript,0.003566333808844508,0.004734350341925302,-0.0011680165330807944,0.01,-0.006433666191155492
irish_examiner,0.004814550641940085,0.006522829904666332,-0.001708279262726247,0.01,-0.005185449358059915
rte,0.003566333808844508,0.0062959076600209865,-0.0027295738511764786,0.01,-0.006433666191155492
the_liberal,0.003744650499286733,0.005508262393590386,-0.0017636118943036528,0.01,-0.006255349500713267
