rule,outlet,fpr_target,period,anchor_fpr,tpr_all,tpr_frontier,detected,lower_bound
maj_bino_fdg_radar,rte,0.05,pre,0.030430220356768102,0.7241993706034802,0.017067273503057888,0.0322753209700428,0.002547779918307803
maj_bino_fdg_radar,rte,0.05,post,0.030430220356768102,0.7241993706034802,0.017067273503057888,0.025320970042796005,0.0
maj_bino_fdg_radar,irish_examiner,0.05,pre,0.03562468640240843,0.7765873750462792,0.053050775138671596,0.03762482168330956,0.0025755444205900653
maj_bino_fdg_radar,irish_examiner,0.05,post,0.03562468640240843,0.7765873750462792,0.053050775138671596,0.014800285306704708,0.0
maj_bino_fdg_radar,the_liberal,0.05,pre,0.0385578367551327,0.535472972972973,0.00014222727919214906,0.029243937232524966,0.0
maj_bino_fdg_radar,the_liberal,0.05,post,0.0385578367551327,0.535472972972973,0.00014222727919214906,0.014978601997146932,0.0
maj_bino_fdg_radar,gript,0.05,pre,0.027354024197790636,0.7892678637541651,0.0681268667330394,0.02549928673323823,0.0
maj_bino_fdg_radar,gript,0.05,post,0.027354024197790636,0.7892678637541651,0.0681268667330394,0.02407275320970043,0.0
maj_bino_fdg_perp,rte,0.05,pre,0.035676810073452254,0.7521751203258052,0.030721092305504197,0.0344151212553495,0.0
maj_bino_fdg_perp,rte,0.05,post,0.035676810073452254,0.7521751203258052,0.030721092305504197,0.026569186875891583,0.0
maj_bino_fdg_perp,irish_examiner,0.05,pre,0.03963873557451079,0.7748056275453535,0.04849950220452283,0.039229671897289584,0.0
maj_bino_fdg_perp,irish_examiner,0.05,post,0.03963873557451079,0.7748056275453535,0.04849950220452283,0.014800285306704708,0.0
maj_bino_fdg_perp,the_liberal,0.05,pre,0.03905858788182273,0.717812847093669,0.026169819371355426,0.02942225392296719,0.0
maj_bino_fdg_perp,the_liberal,0.05,post,0.03905858788182273,0.717812847093669,0.026169819371355426,0.019436519258202566,0.0
maj_bino_fdg_perp,gript,0.05,pre,0.028406102051551814,0.7858432062199185,0.0672735030578865,0.02710413694721826,0.0
maj_bino_fdg_perp,gript,0.05,post,0.028406102051551814,0.7858432062199185,0.0672735030578865,0.03138373751783167,0.003789096148839851
any1_bino_fdg_perp,rte,0.05,pre,0.1044071353620147,0.9141984450203628,0.6038970274498648,0.10253209700427961,0.0
any1_bino_fdg_perp,rte,0.05,post,0.1044071353620147,0.9141984450203628,0.6038970274498648,0.08024251069900143,0.0
any1_bino_fdg_perp,irish_examiner,0.05,pre,0.09984947315604616,0.9214411329137356,0.6323424832882947,0.10752496433666191,0.008329876870532892
any1_bino_fdg_perp,irish_examiner,0.05,post,0.09984947315604616,0.9214411329137356,0.6323424832882947,0.06365905848787447,0.0
any1_bino_fdg_perp,the_liberal,0.05,pre,0.10115172759138708,0.9196825249907442,0.649836438628929,0.09718259629101283,0.0
any1_bino_fdg_perp,the_liberal,0.05,post,0.10115172759138708,0.9196825249907442,0.649836438628929,0.1080599144079886,0.007511490790445371
any1_bino_fdg_perp,gript,0.05,pre,0.11993687532877433,0.9659616808589412,0.8833736310624378,0.12072039942938659,0.0008111337293582352
any1_bino_fdg_perp,gript,0.05,post,0.11993687532877433,0.9659616808589412,0.8833736310624378,0.14122681883024252,0.022040153272474532
perplexity_only,rte,0.05,pre,0.05036726128016789,0.8829137356534617,0.5939411179064145,0.043509272467902996,0.0
perplexity_only,rte,0.05,post,0.05036726128016789,0.8829137356534617,0.5939411179064145,0.03905135520684736,0.0
perplexity_only,irish_examiner,0.05,pre,0.050175614651279475,0.8880738615327657,0.6120039823638174,0.05474322396576319,0.005143276378611436
perplexity_only,irish_examiner,0.05,post,0.050175614651279475,0.8880738615327657,0.6120039823638174,0.029243937232524966,0.0
perplexity_only,the_liberal,0.05,pre,0.0500751126690035,0.8961264346538319,0.641160574598208,0.05153352353780314,0.0016274610505860277
perplexity_only,the_liberal,0.05,post,0.0500751126690035,0.8961264346538319,0.641160574598208,0.07578459343794579,0.02868956854160172
perplexity_only,gript,0.05,pre,0.05049973698053656,0.9558728248796742,0.8792490399658655,0.07614122681883025,0.026825210604267836
perplexity_only,gript,0.05,post,0.05049973698053656,0.9558728248796742,0.8792490399658655,0.11144793152639088,0.06376182370654435
fastdetectgpt_only,rte,0.05,pre,0.05036726128016789,0.7002036282858201,0.028872137676006257,0.050106990014265336,0.0
fastdetectgpt_only,rte,0.05,post,0.05036726128016789,0.7002036282858201,0.028872137676006257,0.03281027104136947,0.0
fastdetectgpt_only,irish_examiner,0.05,pre,0.050175614651279475,0.7322288041466124,0.04693500213340919,0.05189015691868759,0.002341538952986637
fastdetectgpt_only,irish_examiner,0.05,post,0.050175614651279475,0.7322288041466124,0.04693500213340919,0.029243937232524966,0.0
fastdetectgpt_only,the_liberal,0.05,pre,0.0500751126690035,0.7136245834875972,0.03484568340207652,0.045827389443651924,0.0
fastdetectgpt_only,the_liberal,0.05,post,0.0500751126690035,0.7136245834875972,0.03484568340207652,0.03619828815977175,0.0
fastdetectgpt_only,gript,0.05,pre,0.05049973698053656,0.7111486486486487,0.033565637889347175,0.0358416547788873,0.0
fastdetectgpt_only,gript,0.05,post,0.05049973698053656,0.7111486486486487,0.033565637889347175,0.03245363766048502,0.0
