outlet,period,view,n,detected
gript,post,all,5608,0.03138373751783167
gript,post,non_wire,5608,0.03138373751783167
gript,post,len_0-150,91,0.14285714285714285
gript,post,len_150-300,471,0.04883227176220807
gript,post,len_300-600,1703,0.04756312389900176
gript,post,len_600-inf,3343,0.01764881842656297
gript,pre,all,5608,0.02710413694721826
gript,pre,non_wire,5608,0.02710413694721826
gript,pre,len_0-150,134,0.05970149253731343
gript,pre,len_150-300,813,0.03936039360393604
gript,pre,len_300-600,2030,0.026108374384236452
gript,pre,len_600-inf,2631,0.02242493348536678
irish_examiner,post,all,5608,0.014800285306704708
irish_examiner,post,non_wire,4357,0.015377553362405325
irish_examiner,post,len_0-150,144,0.10416666666666667
irish_examiner,post,len_150-300,641,0.031201248049921998
irish_examiner,post,len_300-600,2462,0.00974817221770918
irish_examiner,post,len_600-inf,2361,0.010165184243964422
irish_examiner,pre,all,5608,0.039229671897289584
irish_examiner,pre,non_wire,4907,0.03933156714897086
irish_examiner,pre,len_0-150,334,0.17664670658682635
irish_examiner,pre,len_150-300,972,0.07510288065843622
irish_examiner,pre,len_300-600,2507,0.028320702034303948
irish_examiner,pre,len_600-inf,1795,0.00947075208913649
rte,post,all,5608,0.026569186875891583
rte,post,non_wire,3677,0.03453902638020125
rte,post,len_0-150,576,0.10416666666666667
rte,post,len_150-300,1239,0.04519774011299435
rte,post,len_300-600,2097,0.010014306151645207
rte,post,len_600-inf,1696,0.007075471698113208
rte,pre,all,5608,0.0344151212553495
rte,pre,non_wire,3693,0.04494990522610344
rte,pre,len_0-150,649,0.10631741140215717
rte,pre,len_150-300,1522,0.04533508541392904
rte,pre,len_300-600,2088,0.022509578544061302
rte,pre,len_600-inf,1349,0.005930318754633061
the_liberal,post,all,5608,0.019436519258202566
the_liberal,post,non_wire,5530,0.019710669077757686
the_liberal,post,len_0-150,1539,0.04743339831059129
the_liberal,post,len_150-300,1814,0.008269018743109152
the_liberal,post,len_300-600,1642,0.007308160779537149
the_liberal,post,len_600-inf,613,0.01468189233278956
the_liberal,pre,all,5608,0.02942225392296719
the_liberal,pre,non_wire,5587,0.029532844102380527
the_liberal,pre,len_0-150,3227,0.050821196157421755
the_liberal,pre,len_150-300,1997,0.000500751126690035
the_liberal,pre,len_300-600,337,0.0
the_liberal,pre,len_600-inf,47,0.0
