outlet,pre_detected,ensemble_fpr_anchor,delta,fpr_target,delta_asposted
gript,0.02710413694721826,0.028406102051551814,-0.0013019651043335544,0.05,-0.022895863052781743
irish_examiner,0.039229671897289584,0.03963873557451079,-0.0004090636772212039,0.05,-0.01077032810271042
rte,0.0344151212553495,0.035676810073452254,-0.001261688818102756,0.05,-0.015584878744650504
the_liberal,0.02942225392296719,0.03905858788182273,-0.00963633395885554,0.05,-0.02057774607703281
