condition,n,precision,recall,f1,anchor_fpr
unmatched,8274,0.9511062551215514,0.8416727096930142,0.893049499871762,0.04326806864877931
length_matched,6280,0.9392086330935252,0.8315286624203821,0.8820945945945946,0.053821656050955416
random_subsample,6280,0.9460625674217907,0.8381650207072316,0.8888513513513514,0.04775549188156638
length_only,8274,0.5620176405733186,0.9857384578196761,0.7158781708066356,0.7681895093062606
