rule,outlet,fpr_target,period,anchor_fpr,tpr_all,tpr_frontier,detected,lower_bound
maj_bino_fdg_radar,rte,0.01,pre,0.005246589716684155,0.46533691225472046,0.00014222727919214906,0.0028530670470756064,0.0
maj_bino_fdg_radar,rte,0.01,post,0.005246589716684155,0.46533691225472046,0.00014222727919214906,0.003566333808844508,0.0
maj_bino_fdg_radar,irish_examiner,0.01,pre,0.004515805318615153,0.5358200666419844,0.0005689091167685962,0.004814550641940085,0.000557547844740468
maj_bino_fdg_radar,irish_examiner,0.01,post,0.004515805318615153,0.5358200666419844,0.0005689091167685962,0.0007132667617689016,0.0
maj_bino_fdg_radar,the_liberal,0.01,pre,0.005007511266900351,0.19784339133654202,0.0,0.003744650499286733,0.0
maj_bino_fdg_radar,the_liberal,0.01,post,0.005007511266900351,0.19784339133654202,0.0,0.0021398002853067048,0.0
maj_bino_fdg_radar,gript,0.01,pre,0.004208311415044713,0.7005044427989634,0.01038259138102688,0.003566333808844508,0.0
maj_bino_fdg_radar,gript,0.01,post,0.004208311415044713,0.7005044427989634,0.01038259138102688,0.005349500713266762,0.0016290964460728718
maj_bino_fdg_perp,rte,0.01,pre,0.0062959076600209865,0.603595890410959,0.0019911819086900866,0.003566333808844508,0.0
maj_bino_fdg_perp,rte,0.01,post,0.0062959076600209865,0.603595890410959,0.0019911819086900866,0.003209700427960057,0.0
maj_bino_fdg_perp,irish_examiner,0.01,pre,0.006522829904666332,0.6459644576082932,0.002133409187882236,0.004814550641940085,0.0
maj_bino_fdg_perp,irish_examiner,0.01,post,0.006522829904666332,0.6459644576082932,0.002133409187882236,0.000891583452211127,0.0
maj_bino_fdg_perp,the_liberal,0.01,pre,0.005508262393590386,0.5290170307293595,0.0014222727919214904,0.003744650499286733,0.0
maj_bino_fdg_perp,the_liberal,0.01,post,0.005508262393590386,0.5290170307293595,0.0014222727919214904,0.002674750356633381,0.0
maj_bino_fdg_perp,gript,0.01,pre,0.004734350341925302,0.7262125138837467,0.017493955340634335,0.003566333808844508,0.0
maj_bino_fdg_perp,gript,0.01,post,0.004734350341925302,0.7262125138837467,0.017493955340634335,0.007489300998573466,0.0037935874196312466
any1_bino_fdg_perp,rte,0.01,pre,0.02465897166841553,0.8294613106256942,0.27876546721661216,0.02086305278174037,0.0
any1_bino_fdg_perp,rte,0.01,post,0.02465897166841553,0.8294613106256942,0.27876546721661216,0.018901569186875893,0.0
any1_bino_fdg_perp,irish_examiner,0.01,pre,0.02308078273958856,0.8234450203628286,0.22343905561086616,0.022646219686162625,0.0
any1_bino_fdg_perp,irish_examiner,0.01,post,0.02308078273958856,0.8234450203628286,0.22343905561086616,0.012482168330955777,0.0
any1_bino_fdg_perp,the_liberal,0.01,pre,0.024036054081121683,0.8064374305812662,0.2188877826767174,0.01925820256776034,0.0
any1_bino_fdg_perp,the_liberal,0.01,post,0.024036054081121683,0.8064374305812662,0.2188877826767174,0.02585592011412268,0.0022566735669613818
any1_bino_fdg_perp,gript,0.01,pre,0.026301946344029457,0.9097093669011477,0.5886787085763049,0.04029957203994294,0.015386920488238209
any1_bino_fdg_perp,gript,0.01,post,0.026301946344029457,0.9097093669011477,0.5886787085763049,0.0456490727532097,0.021267370781378987
perplexity_only,rte,0.01,pre,0.01049317943336831,0.763629211403184,0.27464087612003985,0.009807417974322396,0.0
perplexity_only,rte,0.01,post,0.01049317943336831,0.763629211403184,0.27464087612003985,0.010699001426533523,0.0002695313250091774
perplexity_only,irish_examiner,0.01,pre,0.010035122930255895,0.7304239170677527,0.21732328260560377,0.010520684736091298,0.0006647671228848368
perplexity_only,irish_examiner,0.01,post,0.010035122930255895,0.7304239170677527,0.21732328260560377,0.005706134094151213,0.0
perplexity_only,the_liberal,0.01,pre,0.010015022533800702,0.7276240281377268,0.21348314606741572,0.00891583452211127,0.0
perplexity_only,the_liberal,0.01,post,0.010015022533800702,0.7276240281377268,0.21348314606741572,0.018901569186875893,0.012213102247075766
perplexity_only,gript,0.01,pre,0.010520778537611783,0.8800444279896334,0.5832740719670033,0.028530670470756064,0.020464753096938453
perplexity_only,gript,0.01,post,0.010520778537611783,0.8800444279896334,0.5832740719670033,0.033345221112696145,0.025935557170930948
fastdetectgpt_only,rte,0.01,pre,0.01049317943336831,0.5727045538689375,0.005973545726070261,0.007310984308131241,0.0
fastdetectgpt_only,rte,0.01,post,0.01049317943336831,0.5727045538689375,0.005973545726070261,0.005349500713266762,0.0
fastdetectgpt_only,irish_examiner,0.01,pre,0.010035122930255895,0.5934607552758238,0.006969136680415304,0.006597717546362339,0.0
fastdetectgpt_only,irish_examiner,0.01,post,0.010035122930255895,0.5934607552758238,0.006969136680415304,0.004814550641940085,0.0
fastdetectgpt_only,the_liberal,0.01,pre,0.010015022533800702,0.590938541281007,0.0068269094012231545,0.0076676176890156916,0.0
fastdetectgpt_only,the_liberal,0.01,post,0.010015022533800702,0.590938541281007,0.0068269094012231545,0.006241084165477888,0.0
fastdetectgpt_only,gript,0.01,pre,0.010520778537611783,0.6135227693446872,0.009387000426681837,0.007310984308131241,0.0
fastdetectgpt_only,gript,0.01,post,0.010520778537611783,0.6135227693446872,0.009387000426681837,0.009807417974322396,0.0
