detector,outlet,fpr_target,threshold,n_human,fpr_realised,tpr,tpr_GPT_4-o,tpr_gemma-2-9b,tpr_llama-8B,tpr_mistral-7B,tpr_qwen-2-72B,tpr_yi-large
binoculars,rte,0.01,-0.8810999989509583,1906,0.01049317943336831,0.5149713069233617,0.00014222727919214906,0.5839156048773805,0.7973604619191641,0.6617405582922824,0.7858511220580187,0.2305603201829617
binoculars,rte,0.05,-0.932394564151764,1906,0.05036726128016789,0.7143650499814883,0.016071682548712843,0.8503904644471846,0.8923563376409128,0.9174876847290641,0.9348659003831418,0.6466552315608919
binoculars,irish_examiner,0.01,-0.9021970629692078,1993,0.010035122930255895,0.6091725286930766,0.0012800455127293415,0.7198246335114399,0.8507011273027221,0.7985769020251778,0.8579638752052545,0.3957975986277873
binoculars,irish_examiner,0.05,-0.9432703256607056,1993,0.050175614651279475,0.7440994076268049,0.03029441046792775,0.881079599945198,0.9023920813857574,0.9448549534756431,0.9526546250684181,0.7264150943396226
binoculars,the_liberal,0.01,-0.8177161812782288,1997,0.010015022533800702,0.20200851536467976,0.0,0.14919852034525277,0.4125653010723123,0.1893814997263273,0.43336070060207993,0.012721555174385363
binoculars,the_liberal,0.05,-0.888910710811615,1997,0.0500751126690035,0.551693817104776,0.00014222727919214906,0.6391286477599671,0.8200439923013473,0.7179802955665024,0.8147235905856596,0.28730703259005147
binoculars,gript,0.01,-0.9317856431007384,1901,0.010520778537611783,0.7125370233246946,0.015787227990328546,0.8487464036169339,0.891806433874072,0.9155719759168035,0.9333607006020799,0.6415094339622641
binoculars,gript,0.05,-0.9523649215698242,1901,0.05049973698053656,0.7658737504627916,0.05049068411321291,0.900671324839019,0.9091284025295573,0.9592227695675971,0.9651067323481116,0.7851629502572899
fastdetectgpt,rte,0.01,1.9660724401474,1906,0.01049317943336831,0.5727045538689375,0.005973545726070261,0.6299493081244006,0.8120703876821557,0.7542419266557198,0.8275862068965517,0.37778730703259006
fastdetectgpt,rte,0.05,1.2867580652236938,1906,0.05036726128016789,0.7002036282858201,0.028872137676006257,0.7996985888477873,0.884932636788562,0.9157088122605364,0.9202244116037219,0.6240708976558034
fastdetectgpt,irish_examiner,0.01,1.866046667098999,1993,0.010035122930255895,0.5934607552758238,0.006969136680415304,0.6595424030689135,0.8259554577948859,0.7820197044334976,0.8444170771756979,0.413093196112064
fastdetectgpt,irish_examiner,0.05,1.0590577125549316,1993,0.050175614651279475,0.7322288041466124,0.04693500213340919,0.8423071653651185,0.8982678031344514,0.9418445539135194,0.9384236453201971,0.6991137793024585
fastdetectgpt,the_liberal,0.01,1.878361463546753,1997,0.010015022533800702,0.590938541281007,0.0068269094012231545,0.6554322509932867,0.8241682705526533,0.7795566502463054,0.8431855500821018,0.40766152086906804
fastdetectgpt,the_liberal,0.05,1.1972345113754272,1997,0.0500751126690035,0.7136245834875972,0.03484568340207652,0.8186052883956706,0.8920813857574924,0.9273399014778325,0.9281609195402298,0.6533733562035449
